epoch,loss,lr,time_s
1,0.09020612811048825,0.00019999862922474268,34.56145405769348
2,0.03200945481657982,0.00019999451693655123,26.177894830703735
3,0.024612091730038324,0.0001999876632481661,35.87384629249573
4,0.021586246540149054,0.0001999780683474846,27.81580901145935
5,0.0196616742759943,0.00019996573249755575,26.72908663749695
6,0.019504862651228905,0.0001999506560365732,27.669785022735596
7,0.018445029854774475,0.00019993283937786563,34.72344923019409
8,0.01725320021311442,0.00019991228300988585,32.23312449455261
9,0.016495661002894242,0.00019988898749619702,26.280543088912964
10,0.01624204454322656,0.00019986295347545737,26.094426155090332
11,0.01610323085139195,0.00019983418166140282,26.055933952331543
12,0.01558415163308382,0.00019980267284282714,26.066565990447998
13,0.01589603181928396,0.00019976842788356052,26.06011390686035
14,0.015490491626163323,0.0001997314477224458,26.076024770736694
15,0.015045924360553424,0.0001996917333733128,26.120101928710938
16,0.014746480621397495,0.00019964928592495045,26.092522382736206
17,0.01449340054144462,0.000199604106541077,26.164707899093628
18,0.01447152557472388,0.00019955619646030802,38.781466007232666
19,0.014102312922477721,0.00019950555699612267,26.5403151512146
20,0.014323789812624454,0.00019945218953682734,27.375402212142944
21,0.013989403347174327,0.000199396095545518,27.69501495361328
22,0.014084497404595216,0.00019933727656003963,26.86057758331299
23,0.013819462060928345,0.00019927573419294456,26.53932547569275
24,0.014118304724494617,0.0001992114701314478,26.467095851898193
25,0.013918048515915871,0.00019914448613738103,26.512955904006958
26,0.01359560526907444,0.00019907478404714433,26.519104719161987
27,0.013849139772355556,0.0001990023657716557,26.40585732460022
28,0.013785058384140332,0.0001989272332962988,26.528204441070557
29,0.013568992043534915,0.0001988493886808683,26.495819330215454
30,0.0133882870276769,0.00019876883405951375,26.581741333007812
31,0.013341960062583287,0.00019868557164068069,26.541114568710327
32,0.01345936736712853,0.00019859960370705046,26.528063774108887
33,0.013397301050523917,0.00019851093261547735,26.462602853775024
34,0.013220537702242534,0.00019841956079692414,26.441793203353882
35,0.013529257041712602,0.00019832549075639544,26.379236698150635
36,0.01338281420369943,0.00019822872507286885,26.278774976730347
37,0.01290066031118234,0.00019812926639922447,26.383707761764526
38,0.013219059817492962,0.00019802711746217216,26.340617656707764
39,0.013106127766271432,0.00019792228106217655,26.286529541015625
40,0.013166242527465026,0.00019781476007338055,26.50752282142639
41,0.013050530664622783,0.00019770455744352636,26.366556406021118
42,0.013088326280315718,0.00019759167619387474,26.383862018585205
43,0.01295632856587569,0.00019747611941912217,26.306820154190063
44,0.01285617711643378,0.000197357890287316,26.381309986114502
45,0.012779612404604753,0.00019723699203976766,26.309167623519897
46,0.01304327305406332,0.00019711342799096361,26.298880338668823
47,0.01290045070151488,0.0001969872015284747,26.301190614700317
48,0.012687776299814383,0.00019685831611286313,26.12049174308777
49,0.012817370270689328,0.00019672677527758772,26.551209449768066
50,0.012766037012139957,0.00019659258262890686,26.258089780807495
51,0.012551703117787838,0.00019645574184577985,26.086881399154663
52,0.012581868469715119,0.00019631625667976586,26.188137769699097
53,0.012630696346362432,0.00019617413095492116,26.07456398010254
54,0.012383515449861686,0.00019602936856769434,26.037132740020752
55,0.012441791656116644,0.00019588197348681933,26.087458848953247
56,0.012547276976207892,0.00019573194975320673,26.134244203567505
57,0.012659769132733345,0.00019557930147983302,26.136050939559937
58,0.012588619502882164,0.0001954240328516277,26.055864572525024
59,0.012398603123923142,0.00019526614812535864,26.10065507888794
60,0.012392125154534975,0.00019510565162951537,26.057776927947998
61,0.012340083532035351,0.0001949425477641904,26.073565244674683
62,0.012537117612858613,0.0001947768410009586,26.075587034225464
63,0.012342125301559766,0.00019460853588275454,26.093319416046143
64,0.0122935368369023,0.00019443763702374812,26.091299772262573
65,0.012534491593639056,0.00019426414910921785,26.090073347091675
66,0.012327068174878756,0.00019408807689542257,26.082117319107056
67,0.012419140649338562,0.0001939094252094709,26.063270568847656
68,0.012410957304139932,0.00019372819894918915,26.088470935821533
69,0.012251612916588783,0.00019354440308298672,26.041164875030518
70,0.012441742730637391,0.00019335804264972016,26.10344624519348
71,0.012216853474577268,0.00019316912275855487,26.0807945728302
72,0.012442939914762974,0.0001929776485888251,26.063932418823242
73,0.012240945858259996,0.00019278362538989197,26.092215061187744
74,0.012372971015671889,0.00019258705848099948,26.107089519500732
75,0.012285834612945716,0.00019238795325112867,26.064552307128906
76,0.012349759601056576,0.00019218631515885006,26.120288848876953
77,0.012525124537448088,0.00019198214973217378,26.054253578186035
78,0.012179275229573249,0.00019177546256839812,26.093297958374023
79,0.012023465894162654,0.0001915662593339561,26.057876586914062
80,0.01222106156249841,0.0001913545457642601,26.029452562332153
81,0.012255311074356238,0.00019114032766354453,26.083146810531616
82,0.01228588130325079,0.00019092361090470688,26.132087469100952
83,0.012151273153722286,0.00019070440142914652,26.08628535270691
84,0.011959085923930008,0.00019048270524660199,26.094968557357788
85,0.011923338907460371,0.0001902585284349861,26.09868574142456
86,0.012011532423396904,0.00019003187714021938,26.197684049606323
87,0.012069693518181641,0.00018980275757606157,26.057332277297974
88,0.012177826650440694,0.0001895711760239413,26.086326122283936
89,0.011961826930443446,0.00018933713883278376,26.074360847473145
90,0.0122008815407753,0.0001891006524188368,26.081015586853027
91,0.011957617166141668,0.0001888617232654949,26.05860424041748
92,0.011986896644035976,0.0001886203579231215,26.11141061782837
93,0.011867498544355233,0.0001883765630088694,26.240086317062378
94,0.012109336567421754,0.00018813034520649927,26.084134578704834
95,0.011887148643533388,0.0001878817112661966,26.082056999206543
96,0.012055518912772338,0.0001876306680043864,26.13459587097168
97,0.012102950115998585,0.00018737722230354657,26.076528310775757
98,0.012340939231216907,0.00018712138111201898,26.05212140083313
99,0.012248208560049535,0.00018686315144381916,26.097175359725952
100,0.012025418008367221,0.00018660254037844388,26.13448476791382
101,0.011915211006999016,0.00018633955506067718,26.10046362876892
102,0.011931504992147287,0.0001860742027003944,26.12819266319275
103,0.011844602723916372,0.0001858064905723645,26.14125943183899
104,0.011812368252625069,0.0001855364260160507,26.0702383518219
105,0.011991538728276888,0.00018526401643540925,26.077141284942627
106,0.011942132065693537,0.00018498926929868642,26.05212688446045
107,0.011802046125133832,0.00018471219213821375,26.103837251663208
108,0.011718542687594891,0.00018443279255020152,26.130629301071167
109,0.011933443943659465,0.00018415107819453065,26.092941999435425
110,0.01187274424980084,0.00018386705679454242,26.11096501350403
111,0.011949933630724748,0.00018358073613682706,26.11398196220398
112,0.011748469683031242,0.00018329212407100997,26.102696418762207
113,0.011993427916119495,0.00018300122850953678,26.04316282272339
114,0.012030474593242009,0.0001827080574274562,26.142550468444824
115,0.011726675368845463,0.00018241261886220157,26.130132913589478
116,0.011857824865728617,0.00018211492091337045,26.060011625289917
117,0.011818166139225166,0.0001818149717425024,26.150910139083862
118,0.011707445482412975,0.00018151277957285545,26.1058030128479
119,0.011764806446929772,0.00018120835268918068,26.139262437820435
120,0.01195168470342954,0.0001809016994374948,26.0980167388916
121,0.011892873669664066,0.00018059282822485164,26.209054946899414
122,0.011761639888087908,0.00018028174751911152,26.041381120681763
123,0.01205200410137574,0.00017996846584870913,26.10777497291565
124,0.011876313854008913,0.00017965299180241969,26.12134051322937
125,0.011912955281635126,0.0001793353340291236,26.055614233016968
126,0.012144685474534829,0.0001790155012375691,26.061779499053955
127,0.011913326134284337,0.00017869350219613378,26.118298768997192
128,0.011973805911839008,0.00017836934573258403,26.064924001693726
129,0.011558935853342216,0.00017804304073383302,26.085954666137695
130,0.011753740937759478,0.00017771459614569714,26.104455709457397
131,0.011797935391465822,0.00017738402097265067,26.095917224884033
132,0.011753495285908381,0.00017705132427757895,26.13241958618164
133,0.011725477129220962,0.00017671651518153,26.07135033607483
134,0.011709821286300819,0.00017637960286346425,26.167357444763184
135,0.011650020132462184,0.00017604059656000314,26.20715570449829
136,0.011765068521102269,0.00017569950556517566,26.15336322784424
137,0.01154430073996385,0.00017535633923016384,26.127872943878174
138,0.011580131140848,0.000175011106963046,26.151188135147095
139,0.011641528240094583,0.00017466381822853915,26.187137365341187
140,0.011627227750917275,0.00017431448254773946,26.113689184188843
141,0.011554130290945371,0.000173963109497861,26.077635765075684
142,0.011600602356096109,0.00017360970871197344,26.123545169830322
143,0.011586499058951934,0.0001732542898787379,26.145485877990723
